claim_id	result	clean_checkout
sample-booking-updates-seats	PASS	a419018d93ec151e2fc136179d290e41cdf5176a
full-class-blocks-booking	PASS	a419018d93ec151e2fc136179d290e41cdf5176a
cutoff-blocks-booking	PASS	a419018d93ec151e2fc136179d290e41cdf5176a
demo-reset-isolated	PASS	a419018d93ec151e2fc136179d290e41cdf5176a
school-capacity-flow	PASS	a419018d93ec151e2fc136179d290e41cdf5176a
calendar-poll	PASS	a419018d93ec151e2fc136179d290e41cdf5176a
concurrent-booking-does-not-oversell	PASS	a419018d93ec151e2fc136179d290e41cdf5176a
released-seat-delivery	PASS	a419018d93ec151e2fc136179d290e41cdf5176a
school-plan-price	PASS	a419018d93ec151e2fc136179d290e41cdf5176a
no-third-party-tracking	PASS	a419018d93ec151e2fc136179d290e41cdf5176a
contact-encryption-retention	PASS	a419018d93ec151e2fc136179d290e41cdf5176a
entra-sign-in	PASS	a419018d93ec151e2fc136179d290e41cdf5176a
staff-role-access	PASS	a419018d93ec151e2fc136179d290e41cdf5176a
data-export-delete	PASS	a419018d93ec151e2fc136179d290e41cdf5176a
demo-expiry-input-disposal	PASS	a419018d93ec151e2fc136179d290e41cdf5176a
reconciliation-does-not-change-seats	PASS	a419018d93ec151e2fc136179d290e41cdf5176a
durable-restart	PASS	a419018d93ec151e2fc136179d290e41cdf5176a
configured-smtp-delivery	PASS	a419018d93ec151e2fc136179d290e41cdf5176a
workspace-recovery	PASS	a419018d93ec151e2fc136179d290e41cdf5176a
oldest-waitlist-offer	PASS	a419018d93ec151e2fc136179d290e41cdf5176a
zero-config-runtime	PASS	a419018d93ec151e2fc136179d290e41cdf5176a
forwarded-ip-rate-limits	PASS	a419018d93ec151e2fc136179d290e41cdf5176a
durable-one-replica-topology	PASS	a419018d93ec151e2fc136179d290e41cdf5176a
operational-metrics-no-pii	PASS	a419018d93ec151e2fc136179d290e41cdf5176a
